place_id,name,rating,user_ratings_total,address,phone_number,website,business_status,price_level,latitude,longitude,reviews_count
ChIJB1pWGBWSyJQRPOnd3_j-1uE,13150-000,0.0,0,"Cosmópolis - State of São Paulo, 13150-000, Brazil",,,,,-22.6475546,-47.1947232,0
ChIJuxjQxqxDBQcR4TzUrQYcOXA,AUTO POSTO SIRIRI,4.8,4,"Rod Se 206, 209, Siriri - SE, 49630-000, Brazil",(79) 99820-7936,,OPERATIONAL,,-10.5996592,-37.1159728,4
ChIJY_R59M6JzJQRdCf79z_tE0c,Posto Shell,4.1,268,"Av. Dr. Januário Miraglia, 2141 - V Telma, Campos do Jordão - SP, 12460-000, Brazil",,https://www.shell.com.br/motoristas/localizador-de-postos.html?utm_source=google&utm_medium=maps&utm_campaign=lbm-1030531,OPERATIONAL,2.0,-22.7444533,-45.59983039999999,5
ChIJpXq-2VnJxZQRvPS-VUp4eWY,SIQUELERO AUTO POSTO LTDA,4.2,1115,"Estrada Municipal, 251 - SP-270, km159 - CHAPADA GRANDE, Itapetininga - SP, 18200-000, Brazil",(15) 3273-1115,,OPERATIONAL,,-23.5932874,-47.9925567,5
ChIJoX5aiz1hv5QRg92Ij6iLN2s,17053-460,0.0,0,"R. Alcides Concuruto - Estância Balneária Águas Virtuosas, Bauru - SP, 17053-460, Brazil",,,,,-22.3969496,-49.0961593,0
ChIJe-mmIDT1zpQRZKYku0kzYk4,Auto Posto Bom Clima - Shell (Antigo Bremen),4.3,565,"Av.Brigadeiro Faria Lima, 763 - Jardim Cocaia, Guarulhos - SP, 07122-110, Brazil",(11) 2440-9517,,OPERATIONAL,,-23.448458,-46.521058,5
ChIJd1V7Xl_1zpQRBMzjsx8sKaU,Shell,4.2,433,"Av. Pres. Humberto de Alencar Castelo Branco - Vila Leonor, Guarulhos - SP, 07024-170, Brazil",,https://www.shell.com.br/,OPERATIONAL,2.0,-23.4743811,-46.53193599999999,5
ChIJ6batOMTnoAARmkIxvAgb0WY,Posto Alvorada da Serra,4.2,728,"565 BR-381 - s/n - Centro, Itaguara - MG, 35514-000, Brazil",(31) 3184-1256,http://www.redealvorada.com/,OPERATIONAL,2.0,-20.3926859,-44.4945582,5
ChIJAfnZjFbIvAARNRD6_PWEyFs,Posto Shell - POSTO BARRA DE MURIAE LTDA,4.0,33,"Rio-Bahia, 5245 - Barra, Muriaé - MG, 36880-000, Brazil",,https://www.shell.com.br/motoristas/localizador-de-postos.html,OPERATIONAL,2.0,-21.1008999,-42.3768915,5
ChIJb1dl4v3CrAcRt-_ZHuRtZl8,58046-518,0.0,0,"Av. Gov. Antonio da Silva Mariz - Portal do Sol, João Pessoa - PB, 58046-518, Brazil",,,,,-7.151966499999999,-34.8169422,0
