place_id,name,rating,user_ratings_total,address,phone_number,website,business_status,price_level,reviews_count
ChIJPYgDxZacmAARJY-eJFBXLGQ,Posto Shell,4.3,245,"R. Mal. Setembrino de Carvalho, 85 - Ladeira, Juiz de Fora - MG, 36035-010, Brazil",,https://www.shell.com.br/motoristas/localizador-de-postos.html?utm_source=google&utm_medium=maps&utm_campaign=lbm-591874,OPERATIONAL,2.0,5
ChIJxTUAZmxmmQARwKLrGTP8Noo,26130-250,0.0,0,"Rod. Pres. Dutra, 9502-11988 - Rocha Sobrinho, Belford Roxo - RJ, 26130-250, Brazil",,,,,0
ChIJHSCRrUvGy5QRl_3AiQFr_Zw,37550-000,0.0,0,"Pouso Alegre - State of Minas Gerais, 37550-000, Brazil",,,,,0
ChIJBflLsPFDPgcRNSkuRJzM0z8,45400-000,0.0,0,"Valença - State of Bahia, 45400-000, Brazil",,,,,0
ChIJ8XF4oSXcFAcR8ytoBixnX2U,Posto Alto Da Santa Rita,4.3,122,"Ipirá - State of Bahia, 44600-000, Brazil",(75) 99829-6598,,OPERATIONAL,,5
ChIJp6nFO4OVuZQR2x69uBJJMT8,Posto Shell,4.2,430,"Rua Javari, 5125 - Sn, Ribeirão Preto - SP, 14061-310, Brazil",,https://www.shell.com.br/motoristas/localizador-de-postos.html?utm_source=google&utm_medium=maps&utm_campaign=lbm-1047115,OPERATIONAL,2.0,5
ChIJh94hYVvHuZQRf2_RZiUdCFg,14097-140,0.0,0,"Jardim Roberto Benedetti, Ribeirão Preto - SP, 14097-140, Brazil",,,,,0
ChIJj_JN8xTqWAcRWQwgoVV24Ts,Auto Posto Precioso do Oeste I | Correntina,4.3,1592,"BR-349, Correntina - BA, 47650-000, Brazil",(77) 3488-2026,,OPERATIONAL,,5
ChIJoUCDRnVazpQRA2w1uIK-vfI,04614-000,0.0,0,"Rua Morais de Barros, 1-412 - Campo Belo, São Paulo - SP, 04614-000, Brazil",,,,,0
ChIJX3wI9xDLA5URhg-mlopKrSk,ALP Comércio de Combustíveis,3.6,5,"Av. Nossa Sra. das Dores, 454 - Km Três, Santa Maria - RS, 97095-330, Brazil",(55) 3026-6014,,OPERATIONAL,,5
ChIJeWwtg4QzxZQR3TgbNjp7MJM,Auto Desk Giocar,4.4,312,"Av. Clara Gianotti de Souza, 855 - Vila Nova Ribeira, Registro - SP, 11900-000, Brazil",(13) 3821-3522,https://www.shell.com.br/motoristas/localizador-de-postos.html?utm_source=google&utm_medium=maps&utm_campaign=lbm-1030567,OPERATIONAL,2.0,5
ChIJ3XWy8e34zJQRk9WNrQlHX70,Auto Posto Líder Taubate,4.5,97,"Av. Independência, 412 - Vila Jaboticabeira, Taubaté - SP, 12031-000, Brazil",(12) 3624-7415,,OPERATIONAL,,5
ChIJPy9CWW7IwZQR8O9LOxwtJvQ,86420-000,0.0,0,"Carlópolis - State of Paraná, 86420-000, Brazil",,,,,0
ChIJY-JwCeT0XpMRzprbopXP1XU,74465-539,0.0,0,"R. SN 8 - St. Marabá, Goiânia - GO, 74465-539, Brazil",,,,,0
ChIJ-wU_rvUeuJQRFf_oAbiCz0s,13670-000,0.0,0,"Santa Rita do Passa Quatro - State of São Paulo, 13670-000, Brazil",,,,,0
ChIJR5jt5HFDzpQRGnXCxB9hpwQ,DEPÓSITO ABD,4.9,31,"Av. Corredor Abd, 267 - Vila Sao Jose, Diadema - SP, 09950-461, Brazil",(11) 4070-7020,http://www.abdferros.com.br/,OPERATIONAL,,5
ChIJIa0twnSvvZQRfexMi9enekU,15130-001,0.0,0,"Santa Casa, Mirassol - State of São Paulo, 15130-001, Brazil",,,,,0
ChIJF48364DQPgcRFbtXXTVS8bc,45445-000,0.0,0,"Camamu - State of Bahia, 45445-000, Brazil",,,,,0
ChIJK3yrgzQxxpQRN2IR7UO2pMA,Posto JS Caldeira,3.0,2,"Ao lado da Coplacana - Av. Comendador Luciano Guidotti, 1867 - Caxambu, Piracicaba - SP, 13425-000, Brazil",(19) 99278-3024,,OPERATIONAL,,2
ChIJy0iHY1D0xZIRGpPD-TwnWpo,Posto Ipiranga,4.3,183,"R. Goiás, 711 - Getat, Açailândia - MA, 65930-000, Brazil",(99) 3538-2823,https://portal.ipiranga/,OPERATIONAL,,5
ChIJz0aPcRA-FgcRSiMu1ji9C74,42701-260,0.0,0,"Av. Santos Dumont - Pitangueiras, Lauro de Freitas - BA, 42701-260, Brazil",,,,,0
ChIJ60nEzJeyEQcRIZUmEO_Y67A,AUTO POSTO TOBIAS LTDA,4.2,81,"Largo do Cruzeiro, S/N - CENTRO, Tobias Barreto - SE, 49300-000, Brazil",(79) 3541-1336,http://www.redeserrano.com.br/,OPERATIONAL,,5
ChIJ8_pMhN5nmQARC6e3eei0xe8,POSTO PORTAL DA POSSE LTDA,4.2,654,"Estr. de Adrianópolis, 104 - Ambaí, Nova Iguaçu - RJ, 26041-271, Brazil",(21) 3770-5400,http://www.shell.com.br/,OPERATIONAL,2.0,5
ChIJrVSzuezfmwAR3Q3H9_Wz42Q,21810-041,0.0,0,"R. Francisco Real, 1101-2147483647 - Bangu, Rio de Janeiro - RJ, 21810-041, Brazil",,,,,0
ChIJLygNggTB4JQRhd3Gjlm8zIQ,Cia da beleza,0.0,0,"Av. Nereu Ramos, 289, Santa Cecília - SC, 89540-000, Brazil",,,OPERATIONAL,,0
ChIJRz0Pk4pwcwcRDxBkyIj4YQo,56308-000,0.0,0,"Av. Cel. Antônio Hónorato Viana - Gercino Coelho, Petrolina - PE, 56308-000, Brazil",,,,,0
ChIJc0InqwoX6JQRkfTcVSteUvs,Posto Seis Primos - Rede Primos,5.0,2,"Av. Souza Naves, 3264 - Chapada, Ponta Grossa - PR, 84062-000, Brazil",(42) 3236-7222,http://redeprimos.com.br/,OPERATIONAL,,2
ChIJFbaFE-p3zpQRk5rC_dNuNE0,WALBRAX MOGI AUTO CENTER LTDA,4.3,226,"Av. Francisco Ferreira Lopes, 3600 - Vila Jundiai, Mogi das Cruzes - SP, 08745-000, Brazil",(11) 2610-8070,http://www.shell.com.br/,OPERATIONAL,2.0,5
ChIJ69k3baensQARfuKT9QvujQA,35010-141,0.0,0,"R. Mal. Floriano, 872-1739 - Centro, Gov. Valadares - MG, 35010-141, Brazil",,,,,0
ChIJiUkazvPKEZUR1K1UooBW0R4,96050-500,0.0,0,"Padre Reus, Pelotas - RS, 96050-500, Brazil",,,,,0
