PLACE ID ,RAZAOSOCIAL
ChIJYYOV7p5MxwcRmmB1WnvGF6c,POSTO XIMENES MOTOS LTDA
ChIJwxjIqPUDuQARIkF6SFnGvGU,POSTO JARACATIA LTDA
ChIJ6UeUedn1xZQRCrjdWCMy7OE,POSTO LINC SOROCABA LTDA
ChIJ8YcuryedEQcRFQaryvoV0Mo,NOVA SOURE AUTO POSTO DE COMBUSTIVEIS LTDA
ChIJvQfRYDv5uAAR8HADkwRcXNo,AUTO POSTO MEAIPE LTDA
INVALID,POSTO DE COMBUSTIVEL JACARANDAS LTDA
ChIJt5kWnjYe6wcR7s4fqdXdY_g,POSTO DE COMBUSTIVEL IZAC RITA LTDA
INVALID,PETROBESSA PRIMAVERA COMERCIO DE PRODUTOS DERIVADOS DE PETROLEO LTDA
ChIJe-ZQ-v8G8gcRP7oSJgeCDVg,MARIA DA FE VIDAL PASCOA COMBUSTIVEIS LTDA
ChIJQ0_z9wAlWpMRcYL-2PBY9Ns,POSTO DE COMBUSTIVEL GUERREIRINHO LTDA
INVALID,M MADALENA COMERCIO VAREJISTA E DERIVADOS DE PETROLEO LTDA
ChIJ588g6p6sVAcRAbAVebbEtkk,SAO JOAO COMBUSTIVEIS LTDA
ChIJqZ_8NoweuAARjGsEbWNm0Oc,POSTO DE SERVICOS PAO COM LINGUICA EIRELI
ChIJIbpArpEmwZQRGb0O9GzPuiQ,AUTO POSTO AVENIDA DE AVARE LTDA
INVALID,MACK X COMERCIO DE DERIVADOS DE PETROLEO LTDA
INVALID,AUTO POSTO FORTES COMERCIO DE COMBUSTIVEIS LTDA
ChIJtTT7OqaXpgAR_glYyu7tFPw,POSTO BARAO LTDA
ChIJbQkzAYLqtwAR08wiFxslO7g,POSTO DE COMBUSTIVEL SHOW LTDA
ChIJlcKLq7GVpgAR1OygI8jynDs,POSTO DE COMBUSTIVEIS AQUI RIACHO LTDA
ChIJ4_70apMLoAAR83tDs_xYTXY,AUTO POSTO SANTA MONICA MR LTDA
ChIJbzJQU9avy5QRZxRuaJ1tHFc,REDE DOM PEDRO DE POSTOS LTDA.
ChIJ1ZeY7PmpuJMRONOm-3CtME4,ARENA COMERCIO DE COMBUSTIVEL LTDA
ChIJ0WCUBcdQ_ZQRTb7BlQ1sHEY,AMANDA DALPIAN MORAES EIRELI
ChIJYypx6Z0ZwZIRIk6YyWvTp8s,POSTO PRACA PA-150 LTDA
ChIJbzJQU9avy5QRZxRuaJ1tHFc,REDE DOM PEDRO DE POSTOS LTDA.
ChIJheuRFgvvmwARbvIKANnPnoo,AUTO POSTO PALMEIRAS DE GUARATIBA LTDA
Ek9SLiBBbGJpbm8gT3Jlc3RlcyBEYWxtdXQgLSBTw6NvIFNlYmFzdGnDo28sIENob3BpbnppbmhvIC0gUFIsIDg1NTYwLTAwMCwgQnJhemlsIi4qLAoUChIJY_tlHJLv75QRf_yWrZapeisSFAoSCbO6DRSQ7--UEWbAv3CVduyO,COMBUSTIVEIS DALMUT - EIRELI
 ChIJ0_ikUTTg3JQRUK2-me3krWc,AUTO POSTO MARECHAL S/A
ChIJt-2wSqAbFgcRr58Kn-P0MYw,LFG COMERCIO DE COMBUSTIVEIS LTDA
ChIJWRYIwKuQ0pQRK2BjMrTqsxA,AUTO POSTO PORTAL DA ILHA LTDA
ChIJlaG1bBZ-mQAR2vKAD0x4GfM,POSTO BOM PASTOR LTDA
ChIJuZ3PA958nQAR9Y5Nt3GL4w0,PEIXOTO DE OLIVEIRA COMERCIO DE COMBUSTIVEIS LTDA
ChIJczFcbr5Y8ZQR532fHn7MV2k,LAR TRANSPORTES LTDA
ChIJM-7OVCf5iJIRqtIaR9EyzDE,AUTO POSTO TOME DE SOUZA LTDA
ChIJdy218zkX6JQRTVXkHI2GCrc,GAIZA COMERCIO DE COMBUSTIVEIS LTDA
ChIJj4DrzfVlIpURLS8CNSS5X14,SANDER COMERCIO DE COMBUSTIVEIS LTDA
ChIJy8RRmDOa8JQRQ57EgQJGqW4,LPC COMBUSTIVEIS LTDA
ChIJtc2uZVBPipQRWsslOfBgA7g,AUTO POSTO TUPI LTDA
INVALID,COMBUSTIVEIS BARAO LTDA
ChIJIfg2lyNSbAcRex61gOmIsQA,PEDRA BRANCA POSTO DE COMBUSTIVEIS LTDA
ChIJLc_zcoXEWgcRUxAXlsYC7tI,VILA NOVA GUANAMBI POSTO DE COMBUSTIVEIS LTDA
ChIJ2d41tBCK5pQR7uL1jEjbDoM,AUTO POSTO VERENKA 04 LTDA
 ChIJWakW8ghrpJQRDL6s9Yehxvo,POSTO LARANJEIRAS LTDA
INVALID,POSTO 3 ABASTECIMENTO DE COMBUSTIVEIS LTDA
ChIJRf5Ggr7A4pQRZARHa74uSkY,MP POSTOS E LOGISTICA LTDA
ChIJR6ukfrStnZMR4GuDvYPFWoU,QUALITY COMERCIO DE COMBUSTIVEIS LTDA
ChIJfcb7BSuouAcREx9Uy7cZySU,AUTO POSTO LISBOA LTDA
 ChIJo7GWQAb9ugARrJCbCiMSvX4,AUTO POSTO SALES LTDA
 ChIJYyOYWV7d3JQRLmPqdf9kKh4,POSTOS YANI LTDA
ChIJS2IXRuz_zpQRF1kuSOzV8d0,TURIBIO COMERCIO VAREJISTA DE COMBUSTIVEIS LTDA
ChIJjWcVxRWzVpMR1IjuPVgWfR0,AUTO POSTO MONTRELLATO BURITIS LTDA
ChIJx2DvkWwA0pQRXgo8LGhE17Q,POSTO PERNAMBUCO GUARUJA LTDA
ChIJKyyzbHsKH5UR5GC-8tvoZ70,SANDER COMERCIO DE COMBUSTIVEIS LTDA
ChIJvaUPiTvh3JQRhXmlBAcaQds,AUTO POSTO FREDOLIN LTDA
ChIJ6ctJOajMA5URWOcifbt31NY,DSL COMERCIO DE COMBUSTIVEIS LTDA
INVALID,REDE LK DE POSTOS LTDA
ChIJM_5go4EYwJQRFncrTdIEAxU,AUTO POSTO BONILHA LTDA
ChIJZykQixcvyJMRNqNswa3Vohg,AUTO POSTO 7 DE SETEMBRO LTDA
ChIJsUNINwEQwpQR-Bh0WE-Xp4k,AUTO POSTO HULK LTDA
ChIJD3K5estNhQcRW7RAvaEN2Ow,CACIQUE PETROLEO LTDA
ChIJYzuoKYRRuAARw2bJ1mtxMoo,AUTO POSTO REAL LTDA
INVALID,REDE PARIS CW MARINGA LTDA
